ingredient,category,recipe_unit,current_cost,cost_source,cost_locked,invoice_line_count,vendor_count,vendors,first_invoice_date,last_invoice_date,latest_vendor,latest_sku,latest_product_name,latest_invoice_unit,latest_quantity,latest_unit_price,latest_extended_price,latest_match_source
packer lettuce boston hydroponic,Produce,each,0.15,manual,true,32,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-19,2026-04-27,Sysco,2717106,Lettuce Boston Hydroponic,CS,2,26.89,53.78,sku
packer onion sweet fresh,Produce,lb,0.2710714285714286,invoice,false,33,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-19,2026-04-27,Sysco,3812807,Onion Sweet Fresh,CS,3,37.95,113.85,sku
paper patty 5.5 x 5.5 dry wax,Paper/Supplies,each,0.01056,invoice,false,5,1,Individual FoodService,2026-02-26,2026-04-17,Individual FoodService,PP5,Ppr Patty 5.5x5.5 Dry Wax,EA,5,10.56,52.8,sku
paper roll thermal 3-1/8 x 220 ft bpa/bps free,Paper/Supplies,CS,,,false,2,1,Individual FoodService,2026-03-26,2026-04-23,Individual FoodService,32096,Paper Roll Thermal BPA/BPS Free,CS,1,62.43,62.43,sku
peppers whole yellow,Produce,each,0.0814,manual,true,11,1,Individual FoodService,2026-02-23,2026-04-27,Individual FoodService,G299,Peppers Whole Yellow,TUB,1,48.85,48.85,sku
"pickle chips sandwich cut 1/8""",Dry Goods,each,0.036,manual,true,1,1,"Premier Deli Services, Inc.",2026-04-08,2026-04-08,"Premier Deli Services, Inc.",813,Pickle Chips Sandwich Cut,EA,4,36,144,sku
relish sweet,Dry Goods,oz,0,invoice,false,7,2,"Individual FoodService; Sysco Los Angeles, Inc.",2026-03-26,2026-04-23,Individual FoodService,G1464,Relish Sweet,CS,2,69.57,0,sku
soap dish liquid premium,Cleaning,gal,7.0975,invoice,false,7,1,Individual FoodService,2026-02-23,2026-04-20,Individual FoodService,HAND-SOAP,Hand Liquid Soap Lemon Yellow,CS,1,28.39,28.39,sku
soda coke mexican glass,Beverages,ml,0.0038808333333333334,invoice,false,14,1,Individual FoodService,2026-02-23,2026-04-27,Individual FoodService,G7234,Soda Coke Mexican Glass,CS,2,46.57,93.14,sku
soda orange fanta mexican glass,Beverages,ml,0.0035841666666666665,invoice,false,8,1,Individual FoodService,2026-02-23,2026-04-23,Individual FoodService,G7246,Soda Orange Fanta Mexican Glass,CS,2,43.01,86.02,sku
soda sprite mexican glass crv inc,Beverages,ml,0.0035841666666666665,invoice,false,10,1,Individual FoodService,2026-02-23,2026-04-23,Individual FoodService,G7244,Soda Sprite Mexican Glass Curve Inc,CS,2,43.01,86.02,sku
sugar packet,Dry Goods,CS,,,false,1,1,Sysco,2026-03-30,2026-03-30,Sysco,4000899,Sugar Packet,CS,1,21,21,sku
syrup coca cola classic,Beverages,gal,24.936,invoice,false,7,1,Individual FoodService,2026-02-26,2026-04-23,Individual FoodService,NFBGCOKE,Syrup Coca Cola Classic,CS,1,124.68,124.68,sku
syrup coca cola zero sugar,Beverages,gal,24.936,invoice,false,3,1,Individual FoodService,2026-02-26,2026-04-13,Individual FoodService,203035,Syrup Coca Cola Zero Sugar,CS,1,124.68,124.68,sku
syrup diet coca cola,Beverages,gal,24.922,invoice,false,2,1,Individual FoodService,2026-02-26,2026-04-27,Individual FoodService,NFBGDCOK,Syrup Diet Coca Cola,CS,1,124.61,124.61,sku
syrup hi-c fruit punch flashin,Beverages,gal,26.09,manual,true,10,1,Individual FoodService,2026-02-26,2026-04-23,Individual FoodService,NFBGFP,Syrup Hi-C Fruit Punch Flashin,CS,1,124.68,124.68,sku
syrup lemonade,Beverages,gal,24.936,invoice,false,6,1,Individual FoodService,2026-02-26,2026-04-16,Individual FoodService,NFBGMINLEM,Syrup Lemonade,CS,1,124.68,124.68,sku
syrup orange fanta,Beverages,gal,26.089999999999996,invoice,false,2,1,Individual FoodService,2026-03-23,2026-04-16,Individual FoodService,NFBGFAOR,Syrup Orange Fanta,CS,1,130.45,130.45,sku
syrup pibb xtra,Beverages,CS,,,false,2,1,Individual FoodService,2026-03-12,2026-03-30,Individual FoodService,NFBGMRP,Syrup Pibb Xtra,CS,1,124.68,124.68,sku
syrup sprite,Beverages,gal,24.936,invoice,false,5,1,Individual FoodService,2026-03-09,2026-04-20,Individual FoodService,NFBGSPRI,Sprite Syrup,CS,1,124.68,124.68,sku
sys cls mayonnaise banquet xhv duty,Dry Goods,CS,,,false,1,1,Sysco,2026-04-03,2026-04-03,Sysco,71355SYS,Sys Cls Mayonnaise Banquet Xhv Duty,CS,8,53.95,431.6,sku
sys cls paper patty square 5.5,Paper/Supplies,each,0.0010616049382716048,invoice,false,1,1,"Sysco Los Angeles, Inc.",2026-04-11,2026-04-11,"Sysco Los Angeles, Inc.",6854509,SYS CLS Paper Patty Square 5.5,CS,1,85.99,85.99,sku
sys cls salt granulated iodized,Dry Goods,lb,0.8041666666666667,invoice,false,1,1,"Sysco Los Angeles, Inc.",2026-04-11,2026-04-11,"Sysco Los Angeles, Inc.",7172848,SYS CLS Salt Granulated Iodized,CS,1,28.95,28.95,sku
sys cls spice pepper blk grnd,Dry Goods,lb,13.790000000000001,invoice,false,1,1,"Sysco Los Angeles, Inc.",2026-03-21,2026-03-21,"Sysco Los Angeles, Inc.",5935689,Sys Cls Spice Pepper Blk Grnd,S,1,68.95,68.95,sku
sysco classic gloves nitrile foodservice powder free black,Paper/Supplies,each,0.0037613861386138615,invoice,false,23,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-19,2026-04-25,Sysco,304363443,Glove nitrile FDSRV PF black,SCS,1,37.99,37.99,sku
sysco classic mayonnaise banquet xhv duty,Canned and Dry,gal,13.487499999999999,invoice,false,3,2,"Sysco; Sysco Los Angeles, Inc.",2026-04-06,2026-04-16,"Sysco Los Angeles, Inc.",4983920,Mayonnaise Banquet XHV Duty,CS,6,53.95,323.7,sku
sysco reliable shortening fry liquid clear ztf,Dry Goods,lb,1.1368571428571428,invoice,false,27,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-19,2026-04-25,Sysco,5020553,Shortening fry liquid clear ZTF,CS,2,39.79,79.58,sku
tomato paste heinz,Dry Goods,lb,0.7901666666666666,invoice,false,2,1,Individual FoodService,2026-03-26,2026-04-17,Individual FoodService,G213,Tomato Paste Heinz,CS,1,47.41,47.41,sku
towel multifold kraft 1-ply,Paper/Supplies,each,0.0061275,invoice,false,9,1,Individual FoodService,2026-02-26,2026-04-23,Individual FoodService,18369,Towel Multifold Kraft 1-Ply,CS,1,24.51,24.51,sku
tray food paper #50 1/2 lb white red check,Paper/Supplies,each,0.03438,invoice,false,12,1,Individual FoodService,2026-02-23,2026-04-27,Individual FoodService,SQP2650,Tray Food Paper,CS,2,34.38,68.76,sku
tray pulp 4-cup carrier 8-32 oz,Paper/Supplies,cs,0.18916666666666668,invoice,false,4,1,Individual FoodService,2026-02-23,2026-04-06,Individual FoodService,14960,Tray Pulp 4-Cup Carrier 8-32oz,CS,1,56.75,56.75,sku
water crystal geyser spring,Beverages,oz,0.016534234995773455,invoice,false,10,1,Individual FoodService,2026-02-23,2026-04-16,Individual FoodService,12345,Water Crystal Geyser Spring,CS,1,9.78,9.78,sku
whole class ice cream mix soft serve vanilla 5%,Dairy,oz,0.09966145833333334,invoice,false,31,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-19,2026-04-27,Sysco,7087727,Ice Cream Mix Soft Serve Vanilla 5%,CS,6,38.27,229.62,sku
whole frozen butter solid usda aa unsalted,Dairy,lb,3.315,invoice,false,17,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-19,2026-04-27,Sysco,7485170,Butter Solid USDA AA Unsalted,CS,2,99.45,198.9,sku
