recipeId,itemName,category,isSellable,ingredientCount,totalCost,partial,foodCostOverride,missingLines,missingNames,lines
cmm48co8a0000oxu9s405izq0,Single Slider,A La Carte,true,3,0.8505908194939346,false,,0,[],"[{""kind"":""ingredient"",""name"":""martins bread potato roll sandwich 3.5 inch"",""qty"":1,""unit"":""each"",""unitCost"":0.3252777777777778,""costUnit"":""each"",""lineCost"":0.3252777777777778,""missing"":false},{""kind"":""ingredient"",""name"":""american cheese yellow 160"",""qty"":1,""unit"":""each"",""unitCost"":0.1203125,""costUnit"":""each"",""lineCost"":0.1203125,""missing"":false},{""kind"":""ingredient"",""name"":""ground beef fine grnd 73/27 creekstone"",""qty"":1.5,""unit"":""oz"",""unitCost"":4.3200057783056725,""costUnit"":""lb"",""lineCost"":0.4050005417161568,""missing"":false}]"
cmo71zxj20043ibu9uwpsf19g,Sprite (20 oz cup),Drinks,true,3,0.29830795454545456,false,,0,[],"[{""kind"":""ingredient"",""name"":""greeno cup pet 20 oz c&d pet"",""qty"":1,""unit"":""each"",""unitCost"":0.097,""costUnit"":""each"",""lineCost"":0.097,""missing"":false},{""kind"":""ingredient"",""name"":""greeno lid flat with hole 20 oz pe pet"",""qty"":1,""unit"":""each"",""unitCost"":0.006495454545454546,""costUnit"":""each"",""lineCost"":0.006495454545454546,""missing"":false},{""kind"":""ingredient"",""name"":""syrup sprite"",""qty"":1,""unit"":""fl oz"",""unitCost"":24.936,""costUnit"":""gal"",""lineCost"":0.1948125,""missing"":false}]"
cmo6u4047000coqu9umva39mq,Mod: Add Tomato,Modifier,false,1,0,true,,1,"[""imported fresh tomato bulk 5x6 fresh""]","[{""kind"":""ingredient"",""name"":""imported fresh tomato bulk 5x6 fresh"",""qty"":0.05,""unit"":""lb"",""unitCost"":4.3064,""costUnit"":""each"",""lineCost"":0,""missing"":true}]"
cmo6u40z6000joqu957ccdxif,Mod: Chris's Way,Modifier,false,4,0.19185437500000002,true,,1,"[""Mod: Add Tomato""]","[{""kind"":""component"",""name"":""Mod: Add Lettuce"",""qty"":1,""unit"":""serving"",""unitCost"":0.075,""lineCost"":0.075,""missing"":false},{""kind"":""component"",""name"":""Mod: Add Tomato"",""qty"":1,""unit"":""serving"",""unitCost"":0,""lineCost"":0,""missing"":true},{""kind"":""component"",""name"":""Mod: Add Raw Onion"",""qty"":1,""unit"":""serving"",""unitCost"":0.01802625,""lineCost"":0.01802625,""missing"":false},{""kind"":""component"",""name"":""Mod: Add Sauce"",""qty"":1,""unit"":""serving"",""unitCost"":0.098828125,""lineCost"":0.098828125,""missing"":false}]"
cmo6v1y6x001xiku9gw3a08wd,Mod: Add Extra Cheese,Modifier,false,1,0.1203125,false,,0,[],"[{""kind"":""ingredient"",""name"":""american cheese yellow 160"",""qty"":1,""unit"":""each"",""unitCost"":0.1203125,""costUnit"":""each"",""lineCost"":0.1203125,""missing"":false}]"
cmo6v1ys20022iku9vxlqbpzq,Mod: Extra Pickles,Modifier,false,3,0.116132,false,,0,[],"[{""kind"":""ingredient"",""name"":""pickle chips sandwich cut 1/8\"""",""qty"":2.5,""unit"":""each"",""unitCost"":0.036,""costUnit"":""each"",""lineCost"":0.09,""missing"":false},{""kind"":""ingredient"",""name"":""cup portion plastic 2 oz clear"",""qty"":1,""unit"":""each"",""unitCost"":0.011132,""costUnit"":""each"",""lineCost"":0.011132,""missing"":false},{""kind"":""ingredient"",""name"":""lid portion plastic 1.5, 2, 2.5 oz"",""qty"":1,""unit"":""each"",""unitCost"":0.015,""costUnit"":""each"",""lineCost"":0.015,""missing"":false}]"
cmm48csul0033oxu9qv0rbsf4,Add Cheese,Upgrade Your Fries,true,1,0.240625,false,,0,[],"[{""kind"":""ingredient"",""name"":""american cheese yellow 160"",""qty"":2,""unit"":""each"",""unitCost"":0.1203125,""costUnit"":""each"",""lineCost"":0.240625,""missing"":false}]"
cmm48cqdj0013oxu948ohqp7u,Cheese Fries,A La Carte,true,3,0.9986887037037037,false,,0,[],"[{""kind"":""component"",""name"":""Straight Cut Fries"",""qty"":1,""unit"":""serving"",""unitCost"":0.7380837037037037,""lineCost"":0.7380837037037037,""missing"":false},{""kind"":""ingredient"",""name"":""american cheese yellow 160"",""qty"":2,""unit"":""each"",""unitCost"":0.1203125,""costUnit"":""each"",""lineCost"":0.240625,""missing"":false},{""kind"":""ingredient"",""name"":""cutlery fork full size extra heavy black pp"",""qty"":1,""unit"":""each"",""unitCost"":0.01998,""costUnit"":""each"",""lineCost"":0.01998,""missing"":false}]"
cmo6tswh100007du9bbcher2w,Mod: Add Lettuce,Modifier,false,1,0.075,false,,0,[],"[{""kind"":""ingredient"",""name"":""packer lettuce boston hydroponic"",""qty"":0.5,""unit"":""each"",""unitCost"":0.15,""costUnit"":""each"",""lineCost"":0.075,""missing"":false}]"
cmo6yrzjn00238uu9aujmugyf,Mod: Meat and Cheese,Modifier,false,0,0,false,0,0,[],[]
