date,itemName,category,qtySold,salesRevenue,unitCost,lineCost,status
2026-04-04,2 Triples and Fries,Slider and Fries Combos,11,233.89,5.4390922090915135,59.83001430000665,COSTED
2026-05-01,Diet Coke (20 oz cup),Drinks,4,13.76,0.291703125,1.1668125,COSTED
2026-04-05,The Family Box,Secret Menu,4,148.8,8.029908815264555,32.11963526105822,COSTED
2026-04-05,1 Slider and Fries,Slider and Fries Combos,19,249.87,2.630301782940718,49.97573387587364,COSTED
2026-04-05,2 Grilled Cheeses and Fries,Slider and Fries Combos,1,14.02,2.435864713804714,2.435864713804714,COSTED
2026-04-05,2 Sliders and Fries,Slider and Fries Combos,25,488.1500000000001,4.014954407632278,100.37386019080694,COSTED
2026-04-05,2 Triples and Fries,Slider and Fries Combos,4,93.56,5.074329254546059,20.297317018184238,COSTED
2026-04-05,2 Slider Combo,Uncategorized,1,16.49,4.014954407632278,4.014954407632278,COSTED
2026-04-13,1 Slider Combo,Combos,25,287.25000000000006,2.995577489048847,74.88943722622118,COSTED
2026-05-01,Hi-C (20 oz cup),Drinks,3,10.77,0.300828125,0.902484375,COSTED
2026-05-01,The Family Box,Secret Menu,4,148.8,8.923076854420033,35.692307417680134,COSTED
2026-05-01,Coke Zero (20 oz cup),Drinks,4,13.84,0.29181250000000003,1.1672500000000001,COSTED
2026-04-03,Double Slider,A La Carte ,19,142.31,1.5902292867740542,30.21435644870703,COSTED
2026-04-03,Single Slider,A La Carte ,3,17.549999999999997,1.0140728931781717,3.042218679534515,COSTED
2026-04-03,1 Slider Combo,Combos,51,585.99,3.1049295242944064,158.35140573901472,COSTED
2026-04-03,2 Slider Combo,Combos,74,1220.2600000000004,4.673126980648771,345.81139656800906,COSTED
2026-04-03,Combo 3,Combos,3,58.47,5.483898691921362,16.451696075764087,COSTED
2026-05-01,Sprite (20 oz cup),Drinks,3,9.370000000000001,0.29181250000000003,0.8754375000000001,COSTED
